comparison,medium,time,agitation,compound,genus,log2FoldChange,stat,padj,sig_padj0.05,sig_padj0.01
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Catenibacterium,-0.1395749913166196,-0.21177243704870208,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Coprococcus,-0.07305475710619712,-0.31565918313168817,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Dorea,0.09643314192643308,0.3788842217805053,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Gemmiger,-0.25430895052920577,-0.6757768785882838,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Hespellia,-0.44154529674665755,-0.6424052346102297,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Holdemanella,-0.3648987725270499,-0.5921252564687722,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Intestinibacter,-0.4674819726809457,-0.38702600663204784,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Lactobacillus,0.07972886353268227,0.04336366314605922,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Longibaculum,0.34670336983381744,0.4784405563449616,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Mediterraneibacter,-0.02851512580439845,-0.10895372361642625,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Megamonas,1.0502964719457937,0.6599222900032933,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Olsenella,1.8090634990871168,0.6363870539290626,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Ruminococcus,0.2150818620458033,0.6324129123785793,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Senegalimassilia,-0.4847630031752158,-0.6875091014728976,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Sutterella,-0.04309181648765624,-0.13953997346973693,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Tyzzerella,-0.09699911838164205,-0.11974591408409528,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Faecalibacterium,-0.00330643456383016,-0.01278617134652835,0.9897983892619734,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Holdemania,-0.5479495510646477,-0.26278033615183805,NA,FALSE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Negativibacillus,-2.1601014792909106,-7.2489990718865265,5.4582159474649205e-11,TRUE,TRUE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Phocaeicola,-1.0136033054380202,-4.329700407370649,9.70530176173692e-4,TRUE,TRUE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Anaerostipes,-0.4866469748910736,-3.376963177495116,0.03175937306694082,TRUE,FALSE
GAM_t48_Static_Quercetin,GAM,48,Static,Quercetin,Acidaminococcus,0.8088182772675894,3.053178808289541,0.07359006632484277,FALSE,FALSE
