"sample_id","total_counts","medium","treatment","stirred","time","replicate","condition"
"repBC50_Pl1",40719.8002057831,"Schaedler","CGA","Stirred","24","R2","Schaedler_CGA_Stirred_24"
"repBC50_Pl2",59692.9666214557,"GAM","WaterControl","Stirred","24","R2","GAM_WaterControl_Stirred_24"
"repBC50_Pl3",26053.922078758,"mBHI","Quercetin","Static","48","R2","mBHI_Quercetin_Static_48"
"repBC51_Pl1",25484.4793893887,"Schaedler","CGA","Stirred","24","R3","Schaedler_CGA_Stirred_24"
"repBC51_Pl2",44690.5966477171,"GAM","WaterControl","Stirred","24","R3","GAM_WaterControl_Stirred_24"
"repBC51_Pl3",51471.6560118416,"mBHI","Quercetin","Static","48","R3","mBHI_Quercetin_Static_48"
"repBC52_Pl1",40409.1564902318,"Schaedler","DMSOControl","Stirred","24","R1","Schaedler_DMSOControl_Stirred_24"
"repBC52_Pl2",67664.9860146261,"GAM","FecesOnly","Stirred","24","R1","GAM_FecesOnly_Stirred_24"
"repBC52_Pl3",32897.2705768559,"mBHI","CGA","Static","48","R1","mBHI_CGA_Static_48"
"repBC53_Pl1",45117.1736615386,"Schaedler","DMSOControl","Stirred","24","R2","Schaedler_DMSOControl_Stirred_24"
"repBC53_Pl2",43458.1647836975,"GAM","FecesOnly","Stirred","24","R2","GAM_FecesOnly_Stirred_24"
"repBC53_Pl3",22164.7499611093,"mBHI","CGA","Static","48","R2","mBHI_CGA_Static_48"
"repBC54_Pl1",79381.9592056308,"Schaedler","DMSOControl","Stirred","24","R3","Schaedler_DMSOControl_Stirred_24"
"repBC54_Pl2",77629.6996423372,"GAM","FecesOnly","Stirred","24","R3","GAM_FecesOnly_Stirred_24"
"repBC54_Pl3",33816.1133894218,"mBHI","CGA","Static","48","R3","mBHI_CGA_Static_48"
"repBC55_Pl1",38230.5278869338,"Schaedler","WaterControl","Stirred","24","R1","Schaedler_WaterControl_Stirred_24"
"repBC55_Pl2",47048.8203347442,"GAM","Quercetin","Static","48","R1","GAM_Quercetin_Static_48"
"repBC55_Pl3",22691.8162433279,"mBHI","DMSOControl","Static","48","R1","mBHI_DMSOControl_Static_48"
"repBC56_Pl1",37833.6521618533,"Schaedler","WaterControl","Stirred","24","R2","Schaedler_WaterControl_Stirred_24"
"repBC56_Pl2",92165.5226736017,"GAM","Quercetin","Static","48","R2","GAM_Quercetin_Static_48"
"repBC56_Pl3",46031.0312544079,"mBHI","DMSOControl","Static","48","R2","mBHI_DMSOControl_Static_48"
"repBC57_Pl1",3020.00231779114,"Schaedler","WaterControl","Stirred","24","R3","Schaedler_WaterControl_Stirred_24"
"repBC57_Pl2",10780.4907337674,"GAM","Quercetin","Static","48","R3","GAM_Quercetin_Static_48"
"repBC57_Pl3",2508.19054935872,"mBHI","DMSOControl","Static","48","R3","mBHI_DMSOControl_Static_48"
"repBC58_Pl1",34426.3014745372,"Schaedler","FecesOnly","Stirred","24","R1","Schaedler_FecesOnly_Stirred_24"
"repBC58_Pl2",31991.7543933846,"GAM","CGA","Static","48","R1","GAM_CGA_Static_48"
"repBC58_Pl3",49383.557522953,"mBHI","WaterControl","Static","48","R1","mBHI_WaterControl_Static_48"
"repBC59_Pl1",35858.4987514738,"Schaedler","FecesOnly","Stirred","24","R2","Schaedler_FecesOnly_Stirred_24"
"repBC59_Pl2",62678.2396639373,"GAM","CGA","Static","48","R2","GAM_CGA_Static_48"
"repBC59_Pl3",38708.8958368695,"mBHI","WaterControl","Static","48","R2","mBHI_WaterControl_Static_48"
"repBC60_Pl1",50061.6986583062,"Schaedler","FecesOnly","Stirred","24","R3","Schaedler_FecesOnly_Stirred_24"
"repBC60_Pl2",62184.674094335,"GAM","CGA","Static","48","R3","GAM_CGA_Static_48"
"repBC60_Pl3",46655.1735001496,"mBHI","WaterControl","Static","48","R3","mBHI_WaterControl_Static_48"
"repBC61_Pl1",3193,"Schaedler","Quercetin","Static","48","R1","Schaedler_Quercetin_Static_48"
"repBC61_Pl2",5788.43859903539,"GAM","DMSOControl","Static","48","R1","GAM_DMSOControl_Static_48"
"repBC61_Pl3",3815.11900832085,"mBHI","FecesOnly","Static","48","R1","mBHI_FecesOnly_Static_48"
"repBC62_Pl1",29114.7699631653,"Schaedler","Quercetin","Static","48","R2","Schaedler_Quercetin_Static_48"
"repBC62_Pl2",32315.6471584197,"GAM","DMSOControl","Static","48","R2","GAM_DMSOControl_Static_48"
"repBC62_Pl3",53895.1125143965,"mBHI","FecesOnly","Static","48","R2","mBHI_FecesOnly_Static_48"
"repBC63_Pl1",28200.5106435325,"Schaedler","Quercetin","Static","48","R3","Schaedler_Quercetin_Static_48"
